pais,año,mortalidad_infantil,esperanza_de_vida,fecundidad,poblacion,pib
Ruanda,1984,100.9,44,7.91,6107627,8517312200.15662
Rumania,1984,31.6,69.9,2.25,22533999,281162419018.446
Rusia,1984,25.6,67.9,2.1,142464239,3396041151098.3
Samoa,1984,31.7,70.1,5.55,166796,689964922.6218
San Cristobal y Nieves,1984,33.2,67.1,2.88,42113,380302880.86878
San Marino,1984,,76.5,1.2,22346,1063244133.94768
San Vicente y las Granadinas,1984,31,70.5,3.28,107687,542450166.86911
Santa Lucia,1984,23.2,69.5,4.02,127067,855604488.1903
Santa Sede,1984,,,1,742,
Santo Tome y Principe,1984,64.6,63.1,6.16,106394,376153361.19608
Senegal,1984,83.2,53.8,7.11,6499364,16635759550.6275
Serbia,1984,34.5,68.4,1.81,7875051,151881909423.555
Seychelles,1984,18.6,70.5,3.24,69083,616947123.52245
Sierra Leona,1984,161.5,46.1,6.59,3558758,8288646673.5478
Singapur,1984,9.4,72.9,1.54,2720923,70287247158.7528
Siria,1984,39.1,67.7,6.59,10258398,72281338488.3661
Somalia,1984,112.1,52.2,7.3,6428389,5607494331.54185
Sri Lanka,1984,28.2,68.7,3.01,15441860,56734418670.6668
Suazilandia,1984,68.9,52.9,6.36,680783,2348711337.08661
Sudafrica,1984,57.3,64.1,4.57,33892788,315920219435.622
Sudan,1984,85.4,50,6.34,19546528,38054771797.7792
Sudan del Sur,1984,166.2,48.5,7.35,4750627,5143546323.50538
Suecia,1984,6.5,76.8,1.66,8336487,260592010049.906
Suiza,1984,7.4,76.8,1.52,6442422,275630071463.056
Surinam,1984,46.9,69.8,3.8,382193,5880114291.2666
Tailandia,1984,40,69.8,2.58,49351708,257407674747.543
Tanzania,1984,107,55.8,6.72,21779066,27249286783.3875
Tayikistan,1984,97.3,65.8,5.96,4480026,24972942179.4126
Timor Oriental,1984,163.5,53.3,5.61,686777,1351938930.1236
Togo,1984,98.9,53.8,6.54,3332837,5621550593.12821
Tonga,1984,21.9,68.5,5.41,97990,352654965.5471
Trinidad y Tobago,1984,30.5,68.2,3.02,1172984,18281370465.7916
Tunez,1984,56.4,66.5,4.66,7220044,41674258512.8028
Turkmenistan,1984,84.4,64.6,4.96,3154079,26993569256.0345
Turquia,1984,75.1,65.8,3.91,49574069,419089188663.874
Tuvalu,1984,47,57.1,3.95,7902,19885788.13554
Ucrania,1984,20.1,69.9,2.08,50887599,924740747092.73
Uganda,1984,119.3,49.2,7.02,14607677,14515909381.9345
Uruguay,1984,26.4,71.9,2.47,3002488,32664013027.3155
Uzbekistan,1984,72.5,67.3,4.73,17378846,103077591266.256
Vanuatu,1984,40.6,65,5.49,127109,381474203.66181
Venezuela,1984,30.5,70.6,3.86,17008841,191946972649.556
Vietnam,1984,43,67.3,4.41,57706067,104930727721.156
Yemen,1984,111.5,57,8.85,11025597,26957198328.0811
Yibuti,1984,106.5,60.5,6.25,384053,1588411250.94987
Zambia,1984,102.7,52.2,6.97,6580490,13158575554.7589
Zimbabue,1984,56,64.6,6.04,8391488,27645367767.0419
Afganistan,1985,144.5,46.5,7.55,11426852,35058159906.1742
Albania,1985,45.9,71.4,3.21,3026242,15620021075.957
Alemania,1985,9.2,74.7,1.38,77863424,2487068774779.5
Andorra,1985,,78.6,1.43,43825,1945542783.221
Angola,1985,134.9,47.7,7.45,9779120,39390904012.4288
Antigua y Barbuda,1985,,72.3,2.15,64591,882605798.68429
Arabia Saudita,1985,52.3,66,6.65,8151779,333715903563.339
Argelia,1985,57.2,65.2,6.04,22008544,209539655270.659
Argentina,1985,29,71.7,3.07,30336441,465589550888.926
Armenia,1985,51.4,71.4,2.64,3260432,28302273648.2114
Australia,1985,9.3,75.4,1.9,15835747,473423640954.818
Austria,1985,10.7,74.1,1.48,7564309,245272304952.153
Azerbaiyan,1985,79.9,65.4,3.2,6799814,82204430337.5469
Bahamas,1985,23.4,70.4,2.55,253154,7964454772.18358
Banglades,1985,117.9,54.3,5.54,100253825,150850576048.324
Barbados,1985,19.5,73.8,1.77,255820,3609475413.5546
Barein,1985,21.1,69.6,4.28,430358,9875110003.944
Belgica,1985,9.9,74.4,1.5,9880337,309038155282.442
Belice,1985,41.9,72.5,5,163796,737495281.8774
Benin,1985,118.9,52.1,7,4538012,9864974086.08416
Bielorrusia,1985,16,71,2.04,9944186,127226242847.719
Bolivia,1985,99.5,60.8,5.15,6416185,28628543763.0614
Bosnia y Herzegovina,1985,24.1,70.9,1.96,4330364,18594869469.5786
Botsuana,1985,44.4,62.4,5.48,1121945,6131804726.82195
Brasil,1985,61.4,67.9,3.48,135515595,1456232102253.15
Brunei,1985,11.2,70.5,3.61,218919,27236137755.5628
Bulgaria,1985,19.7,71.2,1.97,8958854,113550546338.159
Burkina Faso,1985,109,50.1,7.24,7999935,9208373261.35935
Burundi,1985,106.9,48.8,7.29,5034042,6236807884.89174
Butan,1985,112.9,55.5,6.18,508392,977793790.6656
Cabo Verde,1985,58,67.7,5.92,347365,597924425.1871
Camboya,1985,87.5,55.4,6.31,6043783,11849007550.1211
Camerun,1985,92.4,53.3,6.56,9761730,42992711518.9671
Canada,1985,8,76.3,1.59,25927465,888524492898.188
Catar,1985,23.7,70.2,4.64,365940,19398368410.398
Chad,1985,121.5,47,7.04,5096269,5922554969.56143
Chile,1985,18.9,72.1,2.59,12395274,104534757914.439
China,1985,42.2,65.6,2.63,1059807820,1714224693071.34
Chipre,1985,12.2,73.6,2.43,731277,12610838328.6368
Cisjordania y Gaza,1985,45.6,69.5,6.94,1745256,6268270437.6684
Colombia,1985,34.1,68.3,3.23,29268470,236924633310.927
Comoras,1985,101.8,63.1,7.02,388352,712447546.04288
Corea del Norte,1985,27.7,70.5,2.65,19620388,52448029459.2329
Corea del Sur,1985,8.5,69.3,1.71,41148963,362783154224.295
Costa Rica,1985,18.2,75.8,3.51,2741894,24155730653.4429
Costa de Marfil,1985,106.1,55.4,7.27,10040483,44587999102.2888
Croacia,1985,15.7,71.2,1.83,4754555,108487875972.959
Cuba,1985,15,74.8,1.77,10157228,90745393779.0256
Dinamarca,1985,8,74.6,1.44,5113880,187676867032.924
Dominica,1985,13.7,74.8,3.12,71744,418873340.6848
Ecuador,1985,54.6,69.3,4.15,9311154,76327844499.2098
Egipto,1985,83.9,59.6,5.12,50734968,300402255414.428
El Salvador,1985,59.5,64.8,4.32,4894706,23425124894.5422
Emiratos Arabes Unidos,1985,19.3,68.5,5.13,1377911,101727643593.136
Eritrea,1985,106,41.9,6.59,1807816,1401838430.74648
Eslovenia,1985,12.3,71.5,1.72,1941472,55254090294.4202
Espana,1985,11.4,76.2,1.64,38601321,813767959235.376
Estados Unidos,1985,10.6,74.7,1.85,241690443,8994736875413.35
Estonia,1985,19,70,2.13,1525280,30133158776.9024
Etiopia,1985,132,45.4,7.34,39842136,33159413731.8773
Filipinas,1985,49.8,66.3,4.66,55213006,203967102188.385
Finlandia,1985,6,74.6,1.64,4902261,144419332903.416
Fiyi,1985,29.1,67,3.66,723761,4401689493.26925
Francia,1985,8.5,75.8,1.82,55467150,1677151338696.66
Gabon,1985,64.7,60.7,5.71,856726,14619488484.5196
Gambia,1985,91.3,58.7,6.36,858874,1886489111.02342
Georgia,1985,43.2,68.4,2.4,5376896,86046809895.2717
Ghana,1985,94.7,54.3,6.12,13661229,28249732087.8096
Granada,1985,19.4,69.5,3.48,96111,573388118.00613
Grecia,1985,15.8,76,1.74,10037037,213593417707.758
Guatemala,1985,73.2,60.5,5.73,7849693,51973868426.8927
Guinea,1985,155.7,46.6,6.53,5610373,9024052588.85034
Guinea Ecuatorial,1985,140.1,47.4,5.95,385547,636926284.99695
Guinea-Bisau,1985,127.3,49,6.74,897697,1433039306.15366
Guyana,1985,50.8,64.5,3.47,771477,3524525346.55095
Haiti,1985,114.3,50.7,5.5,6190862,19669919694.4741
Honduras,1985,55.8,68.6,5.82,4323342,16243795277.7367
Hungria,1985,21.4,69,1.85,10547265,169678625114.303
India,1985,100.6,56.1,4.43,772647793,1393970885454.11
Indonesia,1985,74,61.8,3.73,166776185,584392896578.224
Irak,1985,47.4,61.3,6.25,15683430,146367475391.661
Iran,1985,57.6,61.7,6.24,49582289,439467829894.028
Irlanda,1985,8.9,73.6,2.49,3531271,71729073268.2795
Islandia,1985,6.1,77.2,1.94,241402,7795270078.58382
Islas Marshall,1985,46.8,60.3,6.87,37761,108110421.56517
Islas Salomon,1985,35.6,60.4,6.38,282455,571000241.04355
Israel,1985,12.1,75.6,3.04,4105359,86352513678.3204
Italia,1985,10.5,75.6,1.42,56855501,1756122394986.43
Jamaica,1985,29,72.7,3.21,2290656,14725685254.2806
Japon,1985,5.5,77.9,1.74,120832163,3267056957682.02
Jordania,1985,35.7,69.8,6.53,2778810,24873845020.6752
Kazajistan,1985,49.9,67.4,3.21,16031090,256688779074.695
Kenia,1985,62.7,61.5,6.96,19201768,53468101819.7101
Kiribati,1985,81.4,63.9,4.91,66496,150328345.71456
Kuwait,1985,19.7,72.2,4.22,1894242,63199634561.8373
Laos,1985,123,49.3,6.33,3739985,6485201272.33015
Lesoto,1985,77.4,57.5,5.4,1624379,2259659234.90206
Letonia,1985,16.8,70.3,2.06,2579231,43595036231.2551
Libano,1985,33.6,70.8,3.53,3217376,35052054491.1968
Liberia,1985,156.7,47.7,6.69,2240539,8435996738.58522
Libia,1985,45.5,67.9,6.33,3898745,57765700554.1202
Liechtenstein,1985,,76.7,1.5,27009,
Lituania,1985,15.4,71.1,2.1,3562389,67844685753.4312
Luxemburgo,1985,9.4,73.7,1.39,366661,16683644378.2081
Macedonia del Norte,1985,45,70.1,2.25,2014331,27519747216.7497
Madagascar,1985,109.6,51.1,6.46,10433142,17726073310.3064
Malasia,1985,18.6,70.2,3.8,15252258,131832712503.923
Malaui,1985,146.9,45.3,7.17,7620508,8581700277.41348
Maldivas,1985,84.9,61.3,6.94,190169,1238948022.72304
Mali,1985,143.7,45.8,7.26,8374663,10469551367.0514
Malta,1985,12.3,74.4,1.95,352566,4563884059.29792
Marruecos,1985,77.2,62,4.99,22113953,85952710219.1398
Mauricio,1985,23.7,68.9,2.05,1025063,7234984910.79715
Mauritania,1985,86.3,59.1,6.42,1702107,6613597037.12994
Mexico,1985,45.5,69.3,4.09,75043414,1073419360160.88
"Micronesia, Estados Federados de",1985,45.6,60.6,5.75,89707,272206314.38068
Moldavia,1985,32.9,66.2,2.67,4261131,60477322616.7541
Monaco,1985,,75.8,2.14,28731,3750965525.6067
Mongolia,1985,94.6,60.2,5.26,1921514,8859387134.68844
Montenegro,1985,21.8,72.3,2.13,603500,11155504036.005
Mozambique,1985,169.2,46.1,6.43,12548949,5334831912.47769
Myanmar,1985,87.3,52.5,4.32,36622827,45113422194.1138
Namibia,1985,57.1,58.2,5.88,1096890,8220934711.3764
Nauru,1985,,57.9,4.14,8551,353416006.43997
Nepal,1985,119.7,54.9,5.46,17477692,25470797041.3133
Nicaragua,1985,60.9,62.6,5.36,3706479,18600536614.9163
Niger,1985,139.8,41.3,7.93,7118457,8940515121.04707
Nigeria,1985,124.3,51.3,6.62,84897973,240732152744.184
Noruega,1985,8.3,76.1,1.68,4152400,176456664409.956
Nueva Zelanda,1985,11.3,74.2,1.93,3268028,88947373590.3106
Oman,1985,50.4,66.5,7.51,1325480,29229221587.124
Paises Bajos,1985,7.9,76.2,1.51,14538959,466606247719.139
Pakistan,1985,114.8,61,6.59,98229285,253598785746.248
Palaos,1985,34.3,65.1,3.01,13688,215736357.8892
Panama,1985,30.1,75.3,3.43,2200915,23536482843.5257
Papua Nueva Guinea,1985,70.2,60.8,5.47,3478936,10164048632.8984
Paraguay,1985,43.2,73.2,4.97,3510671,26465116976.4058
Peru,1985,70.7,67.6,4.46,19648204,139187109284.188
Polonia,1985,17.8,71,2.32,37200853,414461796359.641
Portugal,1985,16.5,73.2,1.73,9979469,173501786529.324
Reino Unido,1985,9.7,74.6,1.79,56606414,1522059748603.43
Republica Centroafricana,1985,115.7,48.6,6.12,2600932,3510862182.09368
Republica Checa,1985,15.1,71,1.95,10305145,227074039388.532
Republica Democratica del Congo,1985,125.2,51.3,6.61,31264816,55578323175.3605
Republica Dominicana,1985,54.6,68.7,3.69,6430404,36298935581.9357
Republica Eslovaca,1985,19.4,70.8,2.25,5151166,84393440222.7807
Republica Kirguisa,1985,64.4,65.5,4.2,4102391,26547210369.9679
Republica del Congo,1985,63.1,54.4,5.59,2059311,11976877075.7276
Ruanda,1985,97.8,44.4,7.79,6317228,9004325302.35332
Rumania,1985,31.8,69.7,2.31,22605820,288490041983.279
Rusia,1985,25,68.6,2.09,143569389,3477735334908.08
Samoa,1985,30.5,70.5,5.49,166849,712504778.4081
San Cristobal y Nieves,1985,31.1,67.5,2.82,41874,410138433.02796
San Marino,1985,,76.8,1.17,22485,1095876615.38355
San Vicente y las Granadinas,1985,28.1,70.9,3.08,108506,587439887.96378
Santa Lucia,1985,22.2,69.7,3.97,129159,976544962.93233
Santa Sede,1985,,,1,747,
Santo Tome y Principe,1985,66,63.2,6.1,108658,418951815.01998
Senegal,1985,80.8,54.4,7.01,6683287,17501853754.4449
Serbia,1985,33.5,68.6,1.8,7881548,152613096566.493
Seychelles,1985,17.5,70.5,3.09,69823,697163559.10773
Sierra Leona,1985,160.4,46,6.59,3638438,8180700201.6581
Singapur,1985,8.8,73.4,1.53,2735030,71721560198.7765
Siria,1985,37.4,68,6.48,10625672,77770845459.909
Somalia,1985,111.5,52.1,7.33,6693289,6413722901.85332
Sri Lanka,1985,25.2,68.9,2.9,15544154,60049344586.8856
Suazilandia,1985,65.3,53.6,6.28,706196,2440955527.962
Sudafrica,1985,55.1,64.7,4.5,35042093,320906572985.541
Sudan,1985,84.6,50.4,6.28,19905872,37398848350.9346
Sudan del Sur,1985,163.8,48.5,7.36,4834296,5740945396.92288
Suecia,1985,6.4,76.8,1.73,8350244,271142338427.745
Suiza,1985,7.3,77,1.51,6470957,293118582636.629
Surinam,1985,45.9,70.1,3.71,386972,6748012728.58232
Tailandia,1985,38.3,70.8,2.45,50270753,273954451425.26
Tanzania,1985,106.4,56,6.6,22501693,28712859170.5846
Tayikistan,1985,94.9,66.2,5.94,4619003,25098705290.7684
Timor Oriental,1985,157,54.1,5.65,696665,1424320048.76095
Togo,1985,97.1,54.1,6.46,3441091,5943888808.77153
Tonga,1985,21.4,69.1,5.34,97984,381205489.96608
Trinidad y Tobago,1985,29.8,68.4,2.99,1187366,17675882864.1918
Tunez,1985,53.9,67.1,4.52,7409903,44627124037.5291
Turkmenistan,1985,81.7,64.7,4.97,3247534,27239148223.1324
Turquia,1985,71.5,66.6,3.78,50687115,447553446664.658
Tuvalu,1985,46.4,57.5,3.97,8046,19517765.535
Ucrania,1985,19.3,70.3,2.03,51108770,927634636954.131
Uganda,1985,117.2,48.7,7.04,15023681,14491223716.9428
Uruguay,1985,25.3,72.3,2.47,3017037,33484067270.0989
Uzbekistan,1985,68.8,67.3,4.69,17875339,104751583853.525
Vanuatu,1985,38,65.3,5.43,130356,388796650.9848
Venezuela,1985,29.6,70.9,3.79,17461434,194777312078.279
Vietnam,1985,42,67.8,4.21,59060622,113399605366.018
Yemen,1985,106.2,57.5,8.86,11453825,26506419938.1942
Yibuti,1985,103.8,60.6,6.19,402687,1602913788.84492
Zambia,1985,105.6,52,6.93,6780953,13656219427.2767
Zimbabue,1985,53.6,65.3,5.87,8686813,29617683798.2803
Afganistan,1986,140.2,48,7.55,11420074,36569484756.4022
Albania,1986,43.2,71.6,3.14,3087652,16561602603.423
Alemania,1986,8.7,75,1.42,77923807,2578968546651.36
Andorra,1986,,78.7,1.4,45734,2018622403.42828
Angola,1986,134.4,47.9,7.44,10139450,40570745035.815
Antigua y Barbuda,1986,,72.5,2.03,64276,996605342.24176
Arabia Saudita,1986,48.8,66.6,6.52,8628639,341442526507.02
Argelia,1986,50.9,66,5.65,22745499,213742258395.572
Argentina,1986,28.1,72,3.05,30811980,507290734828.75
Armenia,1986,49.6,71.4,2.66,3294847,28053127215.0577
Australia,1986,9.1,75.8,1.87,16069633,489837851076.781
Austria,1986,10,74.6,1.46,7569395,254408291157.151
Azerbaiyan,1986,78.5,65.4,3.14,6891347,84438505811.8084
Bahamas,1986,22.9,70.8,2.53,257536,8210775077.67296
Banglades,1986,114.4,55,5.3,102635572,159852254365.887
Barbados,1986,18.8,74,1.69,256618,3832660335.7955
Barein,1986,20.5,69.2,4.25,446286,10332931061.1142
Belgica,1986,9.5,74.7,1.54,9886984,318481973659.143
Belice,1986,39.9,72.7,4.94,167554,788819871.32394
Benin,1986,116.9,52.5,6.96,4675420,10198874786.2384
Bielorrusia,1986,15.4,71.6,2.13,10004288,130270810480.98
Bolivia,1986,96.8,61.3,5.12,6552479,28211782664.9047
Bosnia y Herzegovina,1986,22.1,71.4,1.91,4362115,18929221376.8425
Botsuana,1986,43,63.1,5.33,1160650,6747528481.6385
Brasil,1986,59,68.1,3.36,138336370,1588009600315.41
Brunei,1986,10.7,70.8,3.55,226495,26207397069.892
Bulgaria,1986,18.8,71.3,2,8963469,119990140348.128
Burkina Faso,1986,107.1,50.3,7.22,8228847,10234934980.8008
Burundi,1986,104.5,48.9,7.32,5129414,6476743838.9036
Butan,1986,108.9,56.5,6.1,524324,1088749751.89748
Cabo Verde,1986,56.2,68.1,5.81,352312,616236127.50352
Camboya,1986,86.6,55.8,6.23,6285693,12461774136.9012
Camerun,1986,89.4,53.5,6.57,10060342,46886515137.9009
Canada,1986,7.7,76.5,1.58,26211031,919987329836.583
Catar,1986,22.5,70.6,4.57,382422,19055299097.785
Chad,1986,120.4,46.8,7.07,5251069,6409927995.22759
Chile,1986,18.6,72.9,2.59,12588914,111009737427.051
China,1986,42,66.1,2.72,1077233607,1846963609555
Chipre,1986,11.3,73.9,2.45,743105,13364978506.2668
Cisjordania y Gaza,1986,43.3,69.7,6.91,1789310,7330839249.8482
Colombia,1986,32.7,70.5,3.15,29879112,253548811010.508
Comoras,1986,98.7,63.9,6.95,399318,740545030.26372
Corea del Norte,1986,27.4,70.8,2.59,19910855,52873390139.0248
Corea del Sur,1986,7.9,69.7,1.62,41718505,408379701201.741
Costa Rica,1986,17.3,76,3.45,2817216,25735297599.9072
Costa de Marfil,1986,105.5,55.5,7.19,10440917,47340697388.7421
Croacia,1986,14.8,71.5,1.77,4773051,112095247406.176
Cuba,1986,14.1,75,1.78,10244247,91259204894.5664
Dinamarca,1986,8,74.7,1.48,5120688,198446291642.448
Dominica,1986,13.8,74.8,3.08,71406,459219397.22874
Ecuador,1986,52.3,69.9,4,9545998,79529593145.2453
Egipto,1986,78.4,60,5,52206295,317860108572.482
El Salvador,1986,56.2,65.1,4.19,4992769,24016034209.1777
Emiratos Arabes Unidos,1986,18,69,5,1467383,84902636855.2688
Eritrea,1986,103.9,42.6,6.56,1845164,1513716360.3562
Eslovenia,1986,11.5,71.9,1.67,1964835,57200406513.4836
Espana,1986,10.9,76.5,1.55,38735705,856300577090.751
Estados Unidos,1986,10.4,74.8,1.85,243953807,9394870241850.13
Estonia,1986,18.5,70.3,2.17,1535593,30856304050.6639
Etiopia,1986,129.7,45.6,7.32,41037656,36279898309.2982
Filipinas,1986,48.4,66.5,4.56,56645077,213363673012.73
Finlandia,1986,6,74.7,1.6,4918255,149957267099.122
Fiyi,1986,28.2,67.2,3.54,739306,4808595075.87004
Francia,1986,8.2,76.1,1.83,55752834,1736832123298.92
Gabon,1986,63.5,61.1,5.69,880705,14752289324.2973
Gambia,1986,88.9,59.2,6.34,894019,1959706419.79644
Georgia,1986,42.5,68.6,2.38,5419133,86260922325.6735
Ghana,1986,92.1,54.7,6.08,13965217,30100454715.1962
Granada,1986,19.3,69.6,3.58,96790,627583370.1569
Grecia,1986,14.9,76.2,1.66,10088763,219162856126.439
Guatemala,1986,70.4,61.1,5.66,8070818,52664285295.1578
Guinea,1986,152.8,46.9,6.55,5750668,9333690302.86924
Guinea Ecuatorial,1986,137.7,47.8,5.96,404728,625309511.50672
Guinea-Bisau,1986,145.9,49.3,6.73,912126,1429905670.74744
Guyana,1986,50.2,64.7,3.38,768098,3573389051.39464
Haiti,1986,111.5,50.9,5.48,6316122,20076628831.4896
Honduras,1986,53.4,69.1,5.7,4448899,16997279423.9594
Hungria,1986,20.6,69.1,1.85,10511098,175298283906.134
India,1986,98.1,56.2,4.4,790689978,1470869416338.72
Indonesia,1986,71.6,62.5,3.53,170175065,630219562753.413
Irak,1986,46.1,55,6.18,16074145,153595840097.954
Iran,1986,54.7,61.6,6.01,51446045,401626951472.762
Irlanda,1986,8.7,73.8,2.44,3541867,73016651260.9614
Islandia,1986,5.9,77.3,1.94,243184,8386191859.87936
Islas Marshall,1986,45.5,60.6,6.73,39286,131381099.20624
Islas Salomon,1986,34.8,60.1,6.26,291842,616553647.89966
Israel,1986,11.5,75.8,2.99,4168971,90566246197.1276
Italia,1986,9.9,76,1.35,56875988,1831647450786.39
Jamaica,1986,28.3,73.1,3.11,2312125,15729686905.0075
Japon,1986,5.2,78.4,1.7,121366735,3396411870423.28
Jordania,1986,34.3,70.2,6.39,2909887,26994487763.8344
Kazajistan,1986,48.5,68,3.19,16262702,261316041210.77
Kenia,1986,62.5,61.8,6.84,19901646,58484625985.9876
Kiribati,1986,79.5,64.1,4.87,68059,149750027.1348
Kuwait,1986,18.5,72.3,4,1972520,68876756496.8736
Laos,1986,120.6,49.7,6.26,3846715,6880809148.221
Lesoto,1986,75.3,57.8,5.32,1666138,2367259883.57218
Letonia,1986,15.7,70.7,2.17,2599778,44641876227.0775
Libano,1986,32.2,71.1,3.47,3300365,33452161781.6349
Liberia,1986,158.6,47.9,6.64,2308511,8435360577.30749
Libia,1986,43.4,68.6,6.02,4017403,52735456400.3706
Liechtenstein,1986,,77.2,1.48,27384,
Lituania,1986,14.5,71.5,2.13,3593780,70510682823.1914
Luxemburgo,1986,8.9,74,1.43,368406,18540341831.0228
Macedonia del Norte,1986,44.3,70.3,2.25,2024732,29520616087.3858
Madagascar,1986,108.3,51.1,6.34,10736857,18247680688.8862
Malasia,1986,17.5,70.6,3.7,15760419,135953849149.767
Malaui,1986,149,45.3,7.07,7906480,8571004147.2992
Maldivas,1986,81.2,62.1,6.85,196935,1362074490.9456
Mali,1986,140.7,46.5,7.31,8531277,11235432543.492
Malta,1986,11.7,74.8,1.93,355077,4748710325.69754
Marruecos,1986,74.1,62.7,4.77,22600803,93405265814.1046
Mauricio,1986,24.4,69.1,1.95,1038344,8006691703.91696
Mauritania,1986,84.1,59.4,6.34,1751835,7121423156.53515
Mexico,1986,43.8,69.9,3.97,76585637,1048984593713.67
"Micronesia, Estados Federados de",1986,45.4,60.9,5.61,92266,294033841.47334
Moldavia,1986,31.4,67.2,2.74,4309366,64846670625.1158
Monaco,1986,,75.8,2.11,29093,3953558751.0671
Mongolia,1986,91,60.9,5.03,1970965,9802641612.4021
Montenegro,1986,19.9,72.5,2.09,606795,11676039759.9793
Mozambique,1986,167.5,48.1,6.41,12770578,5392575653.81102
Myanmar,1986,85.5,53.1,4.08,37314878,43745134499.4476
Namibia,1986,55.4,58.6,5.79,1131081,8625660454.82169
Nauru,1986,,58,4.15,8742,342241193.9805
Nepal,1986,115.4,55.6,5.4,17868124,26902080248.7594
Nicaragua,1986,58.6,64.1,5.22,3794157,18501926563.7718
Niger,1986,140.9,41.3,7.9,7335811,9581189848.96871
Nigeria,1986,124.9,51.3,6.56,87235953,244156798295.482
Noruega,1986,8.3,76.1,1.71,4167252,186336441949.934
Nueva Zelanda,1986,11,74.3,1.96,3281508,91377157718.6071
Oman,1986,45.8,67.1,7.35,1413419,30838855439.8514
Paises Bajos,1986,7.7,76.3,1.55,14626494,487110774763.965
Pakistan,1986,113.1,61.3,6.55,101606764,274064388880.111
Palaos,1986,33.7,65.4,2.98,14024,214669635.36296
Panama,1986,29.1,75.5,3.34,2251325,24844507326.0552
Papua Nueva Guinea,1986,69.1,61.1,5.42,3554793,10866866834.4826
Paraguay,1986,41.9,73.7,4.93,3611474,26932788232.7498
Peru,1986,67.6,68.5,4.35,20117122,156927048177.15
Polonia,1986,17.1,71.1,2.22,37452611,433455849617.989
Portugal,1986,15.5,73.5,1.66,9993094,182125838474.944
Reino Unido,1986,9.5,74.8,1.78,56751923,1592754519422.35
Republica Centroafricana,1986,115.6,48.8,6.11,2634258,3692928146.14416
Republica Checa,1986,14.7,71.1,1.92,10304373,234643089416.664
Republica Democratica del Congo,1986,124,51.4,6.63,32265196,59446606087.2941
Republica Dominicana,1986,52.9,69.2,3.6,6571208,38064941299.084
Republica Eslovaca,1986,18.6,71,2.19,5180088,88007988954.4154
Republica Kirguisa,1986,61.4,66.1,4.22,4168593,25915430977.1171
Republica del Congo,1986,61.8,54.8,5.51,2120602,12010370780.3039
Ruanda,1986,95.1,45,7.61,6531881,9509508714.33908
Rumania,1986,32.2,69.6,2.39,22674743,300554518203.186
Rusia,1986,24.3,69.9,2.21,144807813,3599127343444.41
Samoa,1986,29.4,70.7,5.42,167061,746970153.07956
San Cristobal y Nieves,1986,29.2,67.8,2.68,41618,453652952.90972
San Marino,1986,12.8,77.1,1.15,22636,1130564930.49352
San Vicente y las Granadinas,1986,25.8,71.2,2.92,109281,628427739.64725
Santa Lucia,1986,21.3,69.9,3.8,131239,1152618248.95421
Santa Sede,1986,,,1,752,
Santo Tome y Principe,1986,67.2,60.6,6.05,111150,399776379.444
Senegal,1986,78.1,55.1,6.9,6878192,18345246415.8589
Serbia,1986,32.5,68.8,1.78,7884579,158496423395.54
Seychelles,1986,16.7,70.5,3.07,70564,717104360.1982
Sierra Leona,1986,159.4,46,6.6,3728380,8363333828.7782
Singapur,1986,8.4,74.1,1.35,2744653,74218865172.6708
Siria,1986,35.8,68.3,6.37,11002844,74100060401.8045
Somalia,1986,111.2,52.1,7.35,6974788,6487693008.59436
Sri Lanka,1986,22.6,69.1,2.74,15731256,63374897649.5846
Suazilandia,1986,62,54.1,6.11,734732,2938796071.52208
Sudafrica,1986,53.2,65.3,4.41,36180515,328668910204.964
Sudan,1986,83.8,55,6.23,20288238,40579847905.1556
Sudan del Sur,1986,160.9,48.6,7.38,4921240,5664321895.614
Suecia,1986,6.3,77,1.8,8369683,281683103206.748
Suiza,1986,7.2,77.2,1.53,6504750,307153497322.508
Surinam,1986,44.7,69.9,3.61,392330,6658384508.8779
Tailandia,1986,36.7,71.5,2.36,51177834,291991924060.365
Tanzania,1986,105.4,56.1,6.49,23258959,30855622722.7228
Tayikistan,1986,91.9,66.5,5.91,4772139,25555856028.9928
Timor Oriental,1986,155.9,54.9,5.67,707185,1502885652.07515
Togo,1986,95.5,54.5,6.38,3547952,6216972157.2088
Tonga,1986,20.9,69.6,5.27,98010,410729965.0047
Trinidad y Tobago,1986,29,68.6,2.9,1203124,17175131813.6164
Tunez,1986,51.6,67.6,4.36,7600301,44075785187.9377
Turkmenistan,1986,79.2,64.9,4.94,3347809,28171443036.4521
Turquia,1986,68.1,67.4,3.66,51777772,485660995299.396
Tuvalu,1986,45.9,57.9,3.97,8217,19472442.65406
Ucrania,1986,18.6,71.2,2.12,51318745,941238693439.282
Uganda,1986,115.7,48.1,7.08,15467579,14632239712.6902
Uruguay,1986,24.3,72.5,2.47,3032845,36547471696.3073
Uzbekistan,1986,65.6,67.4,4.68,18395621,102513996231.525
Vanuatu,1986,35.7,65.8,5.38,133720,388638978.0336
Venezuela,1986,28.6,71.2,3.73,17923536,209319676600.405
Vietnam,1986,41,68.2,3.96,60347048,118616413519.113
Yemen,1986,101.7,55.8,8.86,11901040,26837845006.3704
Yibuti,1986,101.2,60.8,6.14,426341,1587474062.5804
Zambia,1986,108.3,51.8,6.87,6986471,14058445436.2805
Zimbabue,1986,51.7,65.9,5.69,8982578,30352555219.3332
